Weeklyearnings,female,age,agesquared,dropout,hsgrad,somecoll,collgrad,collplus
84,1,54,2916,0,1,0,0,0
84,1,20,400,0,0,1,0,0
84,1,22,484,0,0,0,1,0
84,0,21,441,0,1,0,0,0
84,1,61,3721,1,0,0,0,0
84,0,20,400,0,0,1,0,0
84.15,1,38,1444,0,1,0,0,0
84.75,1,18,324,0,1,0,0,0
85,1,28,784,1,0,0,0,0
85,1,45,2025,0,1,0,0,0
85,1,46,2116,0,0,1,0,0
85,0,27,729,0,1,0,0,0
85.2,1,29,841,1,0,0,0,0
85.2,1,29,841,1,0,0,0,0
86.25,0,18,324,1,0,0,0,0
86.25,1,18,324,0,0,1,0,0
87.2,1,19,361,1,0,0,0,0
87.2,1,44,1936,1,0,0,0,0
87.5,1,64,4096,0,0,1,0,0
87.55,0,19,361,0,0,1,0,0
87.75,1,19,361,0,1,0,0,0
88,1,42,1764,0,1,0,0,0
88,1,18,324,1,0,0,0,0
88,0,46,2116,0,0,1,0,0
88,0,55,3025,0,1,0,0,0
88,0,42,1764,0,0,1,0,0
90,1,41,1681,1,0,0,0,0
90,1,18,324,1,0,0,0,0
90,1,46,2116,0,0,0,1,0
90,0,19,361,0,1,0,0,0
90,1,47,2209,0,0,1,0,0
90,1,35,1225,0,0,0,0,1
90,1,64,4096,0,1,0,0,0
90,0,45,2025,1,0,0,0,0
90,1,47,2209,0,0,1,0,0
90,1,44,1936,1,0,0,0,0
90,1,28,784,0,1,0,0,0
90,1,18,324,0,1,0,0,0
90,0,18,324,0,0,1,0,0
90,1,18,324,1,0,0,0,0
90,1,18,324,1,0,0,0,0
90,0,21,441,0,0,1,0,0
90,1,19,361,0,0,1,0,0
90,0,55,3025,0,0,1,0,0
90,1,23,529,0,0,1,0,0
90,1,26,676,0,1,0,0,0
90,0,19,361,1,0,0,0,0
91,1,36,1296,0,1,0,0,0
91,1,20,400,0,0,1,0,0
91,0,43,1849,0,1,0,0,0
91,0,29,841,0,1,0,0,0
92,1,54,2916,0,0,0,1,0
92,0,20,400,0,0,1,0,0
92,1,18,324,1,0,0,0,0
92,1,39,1521,1,0,0,0,0
92.3,0,59,3481,0,0,1,0,0
92.3,0,26,676,0,0,0,1,0
92.3,1,32,1024,0,0,0,0,1
92.34,1,46,2116,1,0,0,0,0
92.5,1,50,2500,0,1,0,0,0
93,1,38,1444,0,0,0,0,1
93,1,36,1296,1,0,0,0,0
93.75,1,50,2500,0,0,0,0,1
94.95,1,60,3600,0,0,1,0,0
95,1,31,961,1,0,0,0,0
96,1,40,1600,0,1,0,0,0
96,1,18,324,1,0,0,0,0
96,0,44,1936,0,0,1,0,0
96,1,35,1225,0,0,1,0,0
96,1,34,1156,0,1,0,0,0
